owner,repo
pathwaycom,pathway
apache,airflow
airbytehq,airbyte
andkret,Cookbook
dagster-io,dagster
ydataai,ydata-profiling
dbt-labs,dbt-core
cleanlab,cleanlab
great-expectations,great_expectations
kedro-org,kedro
mage-ai,mage-ai
tobymao,sqlglot
ibis-project,ibis
Zipstack,unstract
dpkp,kafka-python
ag2ai,faststream
StructuredLabs,preswald
dlt-hub,dlt
pyqtgraph,pyqtgraph
aws,aws-sdk-pandas
bruin-data,ingestr
mljar,mljar-supervised
blockchain-etl,ethereum-etl
ucbepic,docetl
iterative,datachain
TobikoData,sqlmesh
seperman,deepdiff
instill-ai,instill-core
meltano,meltano
sodadata,soda-core
elyra-ai,elyra
faust-streaming,faust
moj-analytical-services,splink
Delta-ML,delta
quixio,quix-streams
astronomer,dag-factory
toluaina,pgsync
aio-libs,aiokafka
narwhals-dev,narwhals
Data-Learn,data-engineering
duckdb,dbt-duckdb
NVIDIA-Merlin,NVTabular
superlinear-ai,raglite
confluentinc,cp-all-in-one
astronomer,astronomer-cosmos
sauljabin,kaskade
ydf0509,funboost
dbt-checkpoint,dbt-checkpoint
elastic,eland
litestar-org,advanced-alchemy
trustgraph-ai,trustgraph
gangly,datafaker
turbolytics,sql-flow
z3z1ma,dbt-osmosis
aryn-ai,sycamore
insitro,redun
catalyst-cooperative,pudl
matsonj,nba-monte-carlo
gouline,dbt-metabase
vlm-run,vlmrun-hub
miurahr,py7zr
tconbeer,sqlfmt
astronomer,astronomer
astronomer,airflow-ai-sdk
aws-solutions-library-samples,data-lakes-on-aws
elementary-data,dbt-data-reliability
Mause,duckdb_engine
vmware,versatile-data-kit
1kbgz,tributary
xorq-labs,xorq
dbt-labs,dbt-spark
blockchain-etl,bitcoin-etl
databrickslabs,dbldatagen
blockchain-etl,ethereum-etl-airflow
apache,airflow-client-python
DataRecce,recce
ethyca,fides
neuml,paperetl
databricks,delta-live-tables-notebooks
meta-pytorch,torchx
dbt-labs,dbt-mcp
astronomer,astro-sdk
long2ice,meilisync
fedspendingtransparency,usaspending-api
confluentinc,confluent-kafka-python
feluelle,airflow-diagrams
gabledata,recap
motherduckdb,mcp-server-motherduck
mozilla,bigquery-etl
Bl3f,yato
dcaribou,transfermarkt-datasets
typedef-ai,fenic
databrickslabs,dqx
quintoandar,butterfree
ClickHouse,dbt-clickhouse
kraina-ai,quackosm
NVlabs,GatedDeltaNet
grai-io,grai-core
airbytehq,PyAirbyte
databricks,dbt-databricks
pathwaycom,pathway-benchmarks
chrthomsen,pygrametl
l-mds,local-data-stack
Delta-F,DeltaTrader
astronomer,airflow-chart
Altinity,clickhouse-sink-connector
ebonnal,streamable
fzliu,radient
GoogleCloudPlatform,cloud-data-quality
attack68,rateslib
datnguye,dbterd
pipeline-tools,gusty
datacoves,dbt-coves
GAIR-NLP,ProX
astronomer,ask-astro
epoch8,airflow-exporter
xuwei95,ezdata
starburstdata,dbt-trino
ray-project,deltacat
dbt-msft,dbt-sqlserver
morph-kgc,morph-kgc
mehd-io,pypi-duck-flow
duckdb,extension-template
slidoapp,dbt-coverage
kaxil,airflowctl
davidzajac1,zillacode
tomasfarias,airflow-dbt-python
Yueming6568,DeltaEdit
envy-ai,ComfyUI-ConDelta
GoogleCloudPlatform,cortex-data-foundation
ertis-research,kafka-ml
mozilla,telemetry-airflow
Nike-Inc,spark-expectations
unytics,airbyte_serverless
PicnicSupermarket,dbt-score
dsaidgovsg,airflow-pipeline
networktocode,diffsync
datafruit-dev,datafruit
nicholasyager,dbt-loom
dagster-io,mdsfest-opensource-mds
astronomer,airflow-provider-great-expectations
Toloka,dbt-af
GoogleCloudPlatform,public-datasets-pipelines
ktanaka101,mcp-server-duckdb
bryzgaloff,airflow-clickhouse-plugin
XiaoGu-G2020,DeltaForceMarketBot
datachecks,dcs-core
gestaogovbr,Ro-dou
flexanalytics,dbt-business-intelligence
StephenSorriaux,ansible-kafka-admin
bitpicky,dbt-sugar
duckdb-in-action,examples
astronomer,astronomer-providers
slidoapp,dbt-superset-lineage
danthegoodman1,icedb
zju3dv,deltar
dbt-labs,dbt-jsonschema
napalm-automation,napalm-logs
50shadesofgwei,funding-rate-arbitrage
HemeraProtocol,hemera-indexer
pragunbhutani,dbt-llm-agent
hitachienergy,epiphany
kokes,od
easysql,easy_sql
aws-samples,dbt-glue
pangeo-forge,pangeo-forge-recipes
chunkhound,chunkhound
DataKitchen,data-observability-installer
snap-research,DELTA_densetrack3d
dbt-labs,dbt-adapters
173TECH,sayn
owid,etl
aws-samples,amazon-mwaa-examples
capitalone,locopy
surfalytics,data-projects
microsoft,dbt-fabric
stac-utils,stac-geoparquet
PRQL,dbt-prql
feluelle,airflint
martandsingh,ApacheSpark
sheldon1998,DeltaForceKeyBot
mehd-io,duckdb-extension-radar
